InventaireCode,Hexagone_Num,Lat_DegDecValide,Long_DegDecValide
ATLAS2019D,921-587,56.19706,-66.09097
ATLAS2019D,936-590,56.33073,-65.5485
ATLAS2019D,967-585,56.98785,-65.30512
ATLAS2019D,971-582,57.16531,-65.53034
ATLAS2019E,934-584,56.5203,-66.1693
ATLAS2019E,966-589,56.8263,-64.9833
ATLAS2019E,966-589,56.8277,-64.9848
ATLAS2021E,602-581,51.2867,-72.5447
ATLAS2021E,602-581,51.2965,-72.5341
ATLAS2021E,602-581,51.3052,-72.5146
ATLAS2021E,604-581,51.2799,-72.5426
ATLAS2021F,580-519,52.9414,-78.87
ATLAS2021F,569-521,52.6617,-78.755
ATLAS2021F,582-518,52.9756,-78.9228
ATLAS2021F,566-522,52.5953,-78.7431
ATLAS2021F,571-521,52.6781,-78.7269
ATLAS2021G,568-522,52.6308,-78.7186
ATLAS2021G,566-522,52.6086,-78.7417
ATLAS2021G,568-522,52.6211,-78.7156
ATLAS2021G,568-522,52.645,-78.7272
ATLAS2021G,565-522,52.5672,-78.7356
SOBQ2019A,445-617,47.40207,-71.81974
SOBQ2019A,446-617,47.43791,-71.82920
SOBQ2019A,446-618,47.38725,-71.73964
SOBQ2019A,448-618,47.40955,-71.70987
SOBQ2019A,450-618,47.44445,-71.68687
SOBQ2019A,451-618,47.47309,-71.64193
SOBQ2019B,445-617,47.40207,-71.81974
SOBQ2019B,445-617,47.4013,-71.82529
SOBQ2019B,445-617,47.39987,-71.82191
SOBQ2019B,445-617,47.398718,-71.81854
SOBQ2019B,445-617,47.40361,-71.8232
SOBQ2019B,445-617,47.40076,-71.81648
SOBQ2019B,445-617,47.40586,-71.82108
SOBQ2019B,445-617,47.40442,-71.81777
SOBQ2019B,445-617,47.40308,-71.81425
SOBQ2019B,448-618,47.41642,-71.70370
SOBQ2019B,448-618,47.41277,-71.70228
SOBQ2019B,448-618,47.418,-71.70689
SOBQ2019B,448-618,47.41506,-71.7002
SOBQ2019B,448-618,47.42021,-71.7048
SOBQ2019B,448-618,47.41878,-71.70143
SOBQ2019B,448-618,47.41734,-71.69806
SOBQ2019B,448-618,47.4102,-71.71871
SOBQ2019B,448-618,47.40877,-71.71534
SOBQ2019B,448-618,47.41246,-71.71658
SOBQ2019B,448-618,47.41477,-71.7145
