Source,Type_Code,Inventaire,BMS,latitude,longitude
BBS_FEV2021',A,Presentiel,OUI,47.096649,-71.09129
BBS_FEV2021',A,Presentiel,OUI,47.09702,-71.08281
BBS_FEV2021',A,Presentiel,OUI,47.097413,-71.100771
BBS_FEV2021',A,Presentiel,OUI,47.10513,-71.10166
BBS_FEV2021',A,Presentiel,OUI,47.111449,-71.09648
BBS_FEV2021',A,Presentiel,OUI,47.114964,-71.095957
BBS_FEV2021',A,Presentiel,OUI,47.121568,-71.091746
BBS_FEV2021',A,Presentiel,OUI,47.126889,-71.085507
BBS_FEV2021',A,Presentiel,OUI,47.132812,-71.078844
BBS_FEV2021',A,Presentiel,OUI,47.138144,-71.071517
BBS_FEV2021',A,Presentiel,OUI,47.142661,-71.065085
BBS_FEV2021',A,Presentiel,OUI,47.150106,-71.062746
BBS_FEV2021',A,Presentiel,OUI,47.155551,-71.06906
BBS_FEV2021',A,Presentiel,OUI,47.160814,-71.075202
BBS_FEV2021',A,Presentiel,OUI,47.167101,-71.081564
BBS_FEV2021',A,Presentiel,OUI,47.173587,-71.085507
BBS_FEV2021',A,Presentiel,OUI,47.180748,-71.088109
BBS_FEV2021',A,Presentiel,OUI,47.187598,-71.088876
BBS_FEV2021',A,Presentiel,OUI,47.192802,-71.081215
BBS_FEV2021',A,Presentiel,OUI,47.198215,-71.073619
BBS_FEV2021',A,Presentiel,OUI,47.201219,-71.065546
BBS_FEV2021',A,Presentiel,OUI,47.208584,-71.065653
BBS_FEV2021',A,Presentiel,OUI,47.215756,-71.065771
BBS_FEV2021',A,Presentiel,OUI,47.2168082,-61.9772566
BBS_FEV2021',A,Presentiel,OUI,47.2168511,-61.9704867
BBS_FEV2021',A,Presentiel,OUI,47.2179562,-61.9560028
BBS_FEV2021',A,Presentiel,OUI,47.2195226,-61.9461215
BBS_FEV2021',A,Presentiel,OUI,47.2206008,-61.9855822
BBS_FEV2021',A,Presentiel,OUI,47.2214967,-61.937753
BBS_FEV2021',A,Presentiel,OUI,47.221958,-61.9958014
BBS_FEV2021',A,Presentiel,OUI,47.2225428,-62.0061816
BBS_FEV2021',A,Presentiel,OUI,47.222698,-71.063148
BBS_FEV2021',A,Presentiel,OUI,47.2243828,-61.9271583
BBS_FEV2021',A,Presentiel,OUI,47.2281218,-62.0115621
BBS_FEV2021',A,Presentiel,OUI,47.231249,-71.058996
BBS_FEV2021',A,Presentiel,OUI,47.2324669,-61.9150186
BBS_FEV2021',A,Presentiel,OUI,47.2342479,-62.0168031
BBS_FEV2021',A,Presentiel,OUI,47.2353959,-61.9215096
BBS_FEV2021',A,Presentiel,OUI,47.2374022,-61.9309081
BBS_FEV2021',A,Presentiel,OUI,47.237766,-71.054463
BBS_FEV2021',A,Presentiel,OUI,47.2384536,-61.9068325
BBS_FEV2021',A,Presentiel,OUI,47.2405779,-62.01396
BBS_FEV2021',A,Presentiel,OUI,47.2411037,-61.898802
BBS_FEV2021',A,Presentiel,OUI,47.2429276,-61.9394965
BBS_FEV2021',A,Presentiel,OUI,47.2435659,-61.9890315
BBS_FEV2021',A,Presentiel,OUI,47.244445,-71.050316
BBS_FEV2021',A,Presentiel,OUI,47.244494,-61.9789464
BBS_FEV2021',A,Presentiel,OUI,47.244671,-61.959023
BBS_FEV2021',A,Presentiel,OUI,47.245068,-61.9483961
BBS_FEV2021',A,Presentiel,OUI,47.2455776,-61.8988449
BBS_FEV2021',A,Presentiel,OUI,47.2461408,-61.9986016
BBS_FEV2021',A,Presentiel,OUI,47.246411,-70.805596
BBS_FEV2021',A,Presentiel,OUI,47.2474551,-61.9699825
BBS_FEV2021',A,Presentiel,OUI,47.2478896,-62.0129461
BBS_FEV2021',A,Presentiel,OUI,47.2506577,-62.0065785
BBS_FEV2021',A,Presentiel,OUI,47.2507,-71.046057
BBS_FEV2021',A,Presentiel,OUI,47.251133,-70.798808
BBS_FEV2021',A,Presentiel,OUI,47.251634,-61.9046063
BBS_FEV2021',A,Presentiel,OUI,47.255583,-70.790645
BBS_FEV2021',A,Presentiel,OUI,47.25725,-71.043214
